,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
26192,"Student Msc(botany),kumaon univesity",,46253,gYgVEB8AAAAJ,{'indices'},botany,Prakash Singh bisht,https://scholar.google.com/citations?view_op=medium_photo&user=gYgVEB8AAAAJ,21164,82,52,1003,603,0,0
26193,"University of Bonn, Nees Institute for Biodiversity of Plants",@uni-bonn.de,37273,IKKr5qEAAAAJ,{'indices'},Biodiversity|Scanning Electron Microscopy|Bionics|Materials Science|Botany,Wilhelm Barthlott,https://scholar.google.com/citations?view_op=medium_photo&user=IKKr5qEAAAAJ,13740,79,48,273,152,0,0
26194,University Of Sargodha,,29336,NzV91eoAAAAJ,{'indices'},Botany,Kafeel Ahmed,https://scholar.google.com/citations?view_op=medium_photo&user=NzV91eoAAAAJ,15825,71,50,683,392,0,0
26195,Associate Professor,,28100,1PWEqOcAAAAJ,{'indices'},Botany,MMAbid Ali Khan,https://scholar.google.com/citations?view_op=medium_photo&user=1PWEqOcAAAAJ,15298,67,47,623,403,0,0
