,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
133082,"PhD scholar at Department of Computer Science and Engineering, IIT (ISM) Dhanbad",,44,ePEmOzIAAAAJ,{'indices'},,ABDUL WAHID,,42,3,3,1,1,0,0
133083,"Senior Research Fellow, Department  of CSE, Indian Institute of Technology (ISM) Dhanbad",,161,sy4EMUIAAAAJ,{'indices'},,Praveen Kumar Donta,,161,4,4,2,2,0,0
133084,"Assistant Professor, VRSiddhartha Engineering College and Pursuing PhD(Part time) in IIT(ISM",,73,x7qJ1ZgAAAAJ,{'indices'},,Ebenezer Jangam,,35,3,3,2,1,0,0
133085,Indian Institute of Technology (Indian School of Mines) Dhanbad,,,xZLuvswAAAAJ,{'indices'},,Samson anosh babu P,,,0,0,0,0,0,0
