,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
26415,"UPEC, APHP, INSERM IMRB, Label GRex",@aphp.fr,2391,c6408McAAAAJ,{'indices'},Red blood cell disorders. Sickle cell disease …,Pablo Bartolucci,https://scholar.google.com/citations?view_op=medium_photo&user=c6408McAAAAJ,1708,27,22,42,38,0,0
26416,INRA Tree molecular ecophysiology,@inra.fr,1846,e3Kf33IAAAAJ,{'indices'},bioinformatics|molecular biology|tree physiology,Philippe LABEL,https://scholar.google.com/citations?view_op=medium_photo&user=e3Kf33IAAAAJ,786,27,16,42,21,0,0
26417,"Technologist, Clean Label Solution LLC, Cornell University",@cornell.edu,1808,-RLU0SMAAAAJ,{'indices'},Surface chemistry|Nanocomposite|Waste valorization|Wastewater treatment,Mohammad Arshadi,https://scholar.google.com/citations?view_op=medium_photo&user=-RLU0SMAAAAJ,1390,25,22,48,44,0,0
26418,Hara the Label Research Lab,@harathelabel.com,458,qp-Dg8IAAAAJ,{'indices'},Machine/Deep Learning|NLP/Computer Vision|Robotics|Social Network Analysis|Healthcare/Fashion AI,Sunghwan Mac Kim,https://scholar.google.com/citations?view_op=medium_photo&user=qp-Dg8IAAAAJ,358,7,7,7,7,0,0
26419,Lund university,@label.se,322,Z0tCYxAAAAAJ,{'indices'},brand orientation|corporate branding|market orientation|brand management|place branding,Johan Gromark,https://scholar.google.com/citations?view_op=medium_photo&user=Z0tCYxAAAAAJ,203,3,3,3,2,0,0
26420,Beyond Labels Ltd,,191,b4XFqRsAAAAJ,{'indices'},Inclusive Education|Islamic Pedagogy|Learning Technology,Aishah Ahmad Sabki,https://scholar.google.com/citations?view_op=medium_photo&user=b4XFqRsAAAAJ,127,8,6,6,3,0,0
26421,Doctor en medicina Universidad de Buenos Aires,,143,jloF7AYAAAAJ,{'indices'},dermatología-Inmunología,Marcelo Label,https://scholar.google.com/citations?view_op=medium_photo&user=jloF7AYAAAAJ,48,4,3,3,2,0,0
26422,Laboratorium Religi dan Budaya Lokal (LABeL),,26,WYTl7AcAAAAJ,{'indices'},Living Quran|Semiotika,Nor Kholis,https://scholar.google.com/citations?view_op=medium_photo&user=WYTl7AcAAAAJ,26,2,2,1,1,0,0
26423,Beyond Labels Ltd,@openhighonline.co.uk,8,yqZUd9cAAAAJ,{'indices'},Liyana Eliza,Liyana Eliza,https://scholar.google.com/citations?view_op=medium_photo&user=yqZUd9cAAAAJ,8,1,1,0,0,0,0
26424,The CEO of COMBEAT ENTERTAINMENT music record label in Nigeria.,,,kSilMncAAAAJ,{'indices'},Music production,Don Iylf,https://scholar.google.com/citations?view_op=medium_photo&user=kSilMncAAAAJ,,0,0,0,0,0,0
