,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
26379,St Gerorge's University of London,@sgul.ac.uk,467,32iW9_cAAAAJ,{'indices'},Genetics|neruology|medecine,Mustafa Yaseen Ahmed Ahmed,https://scholar.google.com/citations?view_op=medium_photo&user=32iW9_cAAAAJ,433,4,4,4,4,0,0
26380,"General thoracic surgeon, Faculty of medecine of Tunis",,447,DMr-URsAAAAJ,{'indices'},Medecine|thoracic surgery,Mohamed Sadok Boudaya,https://scholar.google.com/citations?view_op=medium_photo&user=DMr-URsAAAAJ,211,11,7,11,6,0,0
26381,Ophthalmology,@az-vision.com,436,tPcdNcAAAAAJ,{'indices'},Medecine,TAHI,https://scholar.google.com/citations?view_op=medium_photo&user=tPcdNcAAAAAJ,107,8,6,8,2,0,0
26382,Professor of medecine,@mesrs.dz,427,Z__xcUsAAAAJ,{'indices'},medecine|history of medecine|chilhood|ethics,Mostéfa Khiati,https://scholar.google.com/citations?view_op=medium_photo&user=Z__xcUsAAAAJ,122,5,2,1,1,0,0
26383,tunis el manar university faculty of medecine,@fmt.utm.tn,380,Z1MRKycAAAAJ,{'indices'},medecine,Wafa Hamdi,https://scholar.google.com/citations?view_op=medium_photo&user=Z1MRKycAAAAJ,192,10,7,10,3,0,0
26384,,@uclouvain.be,354,OZNkTRoAAAAJ,{'indices'},biologie|medecine|science,audrey de rocca serra,https://scholar.google.com/citations?view_op=medium_photo&user=OZNkTRoAAAAJ,265,7,7,6,6,0,0
26385,Dr anesthesie réanimation,@um5s.net.ma,334,0Sa-4IsAAAAJ,{'indices'},medecine,mustapha bensghir,https://scholar.google.com/citations?view_op=medium_photo&user=0Sa-4IsAAAAJ,209,10,7,11,5,0,0
26386,"Hellenic Cord Blood Bank, Biomedical Research Foundation Academy of Athens",@bioacademy.gr,329,6wvsdA8AAAAJ,{'indices'},Biology|Medecine|Healthcare,Theofanis Chatzistamatiou,https://scholar.google.com/citations?view_op=medium_photo&user=6wvsdA8AAAAJ,192,6,5,5,4,0,0
26387,Médecin spécialiste,,312,MKX6uSAAAAAJ,{'indices'},medecine,emna Braham,https://scholar.google.com/citations?view_op=medium_photo&user=MKX6uSAAAAAJ,189,8,6,6,2,0,0
26388,CHU Bordeaux,@chu-bordeaux.fr,310,CNJ388cAAAAJ,{'indices'},medecine,anne sophie Darrigade,https://scholar.google.com/citations?view_op=medium_photo&user=CNJ388cAAAAJ,305,9,9,8,8,0,0
26389,"Professor of Pediatrics, ""Gr. T. Popa"" University of Medecine and Pharmacy Iasi, Romania",@umfiasi.ro,300,V9qnPVgAAAAJ,{'indices'},Pediatrics|Medecine,Ingrith Miron,https://scholar.google.com/citations?view_op=medium_photo&user=V9qnPVgAAAAJ,177,10,7,10,4,0,0
26390,docteur,,278,-MgWA_sAAAAJ,{'indices'},medecine,lassad gharbi,https://scholar.google.com/citations?view_op=medium_photo&user=-MgWA_sAAAAJ,134,10,7,10,2,0,0
26391,High Institute for research and  education in transfusion medicine,,272,oPAIZ5EAAAAJ,{'indices'},medecine|transfusion,maryam zadsar,https://scholar.google.com/citations?view_op=medium_photo&user=oPAIZ5EAAAAJ,226,10,9,11,9,0,0
26392,"conferentiar, University of Medecine and Pharmacy ""Iuliu Hatieganu"" Cluj Napoca, Romania",,266,b007xGwAAAAJ,{'indices'},medecine,CHIS IRINA CAMELIA,https://scholar.google.com/citations?view_op=medium_photo&user=b007xGwAAAAJ,136,8,6,6,4,0,0
26393,Laval University,@chudequebec.ca,266,aIMjw9YAAAAJ,{'indices'},Medecine,Nicolas Chrestian,https://scholar.google.com/citations?view_op=medium_photo&user=aIMjw9YAAAAJ,151,7,6,7,4,0,0
26394,"General Practitioner, Shahroud University of Medical Science ",,241,ZuC80lkAAAAJ,{'indices'},Medecine,pouneh Zolfaghari,https://scholar.google.com/citations?view_op=medium_photo&user=ZuC80lkAAAAJ,155,7,6,5,3,0,0
26395,,,238,MN51T2QAAAAJ,{'indices'},medecine,Camelia Constantinescu,https://scholar.google.com/citations?view_op=medium_photo&user=MN51T2QAAAAJ,140,8,7,6,5,0,0
26396,nephrologue,@ramsaygds.fr,235,djtcJ-EAAAAJ,{'indices'},medecine,huseyin karaaslan,https://scholar.google.com/citations?view_op=medium_photo&user=djtcJ-EAAAAJ,56,2,2,2,2,0,0
26397,Mila - Quebec Artificial Intelligence Institute,@mila.quebec,226,ywOEPOsAAAAJ,{'indices'},Deep Learning|Machine Learning|Computer Vision|Medecine|Bioinformatics,Margaux Luck,https://scholar.google.com/citations?view_op=medium_photo&user=ywOEPOsAAAAJ,225,7,7,5,5,0,0
26398,umf carol davila,,224,KOrKnCkAAAAJ,{'indices'},medecine,liaples,https://scholar.google.com/citations?view_op=medium_photo&user=KOrKnCkAAAAJ,217,7,7,5,5,0,0
26399,lecturer of tropical medecine and infectious disease,@med.tanta.edu.eg,223,T0HV5TcAAAAJ,{'indices'},medecine,Rehab Badawi,https://scholar.google.com/citations?view_op=medium_photo&user=T0HV5TcAAAAJ,222,7,7,5,5,0,0
26400,Dunarea deJos University of galati,@ugal.ro,206,oItG6vYAAAAJ,{'indices'},medecine,GURAU GABRIELA,https://scholar.google.com/citations?view_op=medium_photo&user=oItG6vYAAAAJ,145,9,8,7,5,0,0
26401,"CHU Farhat Hached Sousse Tunisie,",@rns.tn,193,e6GY-K4AAAAJ,{'indices'},Medecine,MAHJOUB,https://scholar.google.com/citations?view_op=medium_photo&user=e6GY-K4AAAAJ,143,7,6,4,2,0,0
26402,umf craiova,,180,2bjjupMAAAAJ,{'indices'},medecine,Silosi Cristian Adrian,https://scholar.google.com/citations?view_op=medium_photo&user=2bjjupMAAAAJ,162,8,8,6,5,0,0
26403,docteur en médecine,@chu-besancon.fr,177,l1Wb9n4AAAAJ,{'indices'},medecine,aurélien Louvrier,https://scholar.google.com/citations?view_op=medium_photo&user=l1Wb9n4AAAAJ,177,6,6,6,6,0,0
26404,"Proffesor, ""Dunarea de Jos"" University, Galati",,174,6N6AT_QAAAAJ,{'indices'},Medecine,Costinela Georgescu,https://scholar.google.com/citations?view_op=medium_photo&user=6N6AT_QAAAAJ,143,8,7,8,6,0,0
26405,"CHU Fattouma Bourguiba, Université de Monastir",,171,dwsS3ccAAAAJ,{'indices'},Medecine,Mézri Maatouk,https://scholar.google.com/citations?view_op=medium_photo&user=dwsS3ccAAAAJ,78,6,5,4,3,0,0
26406,Egyptian Medical student,@med.tanta.edu.eg,151,VXCDgOoAAAAJ,{'indices'},Medecine,Alshaimaa Osama,https://scholar.google.com/citations?view_op=medium_photo&user=VXCDgOoAAAAJ,92,2,2,1,1,0,0
26407,doctor,,149,mwwtgKgAAAAJ,{'indices'},medecine|pharmacology|pharmacogenetics|pharmacovigilance|pharmacokinetics,Zohra Chadly,https://scholar.google.com/citations?view_op=medium_photo&user=mwwtgKgAAAAJ,107,6,6,3,1,0,0
26408,student,,135,l5zoWvYAAAAJ,{'indices'},medecine,Houssam algadrh,https://scholar.google.com/citations?view_op=medium_photo&user=l5zoWvYAAAAJ,93,6,3,3,2,0,0
26409,Faculte de medecine de Tunis. Universite Tunis  El Manar,,132,BoFTFugAAAAJ,{'indices'},medecine|chirurgie pediatrique|urologie pediatrique|laparoscopie,rachid khemakhem,https://scholar.google.com/citations?view_op=medium_photo&user=BoFTFugAAAAJ,70,8,5,5,0,0,0
26410,"Doctor of Science, SI ""Research Center for Radiation Medicine NAMS of Ukraine""",,131,GKzErQYAAAAJ,{'indices'},medecine|biology,Iryna Ilienko,https://scholar.google.com/citations?view_op=medium_photo&user=GKzErQYAAAAJ,107,5,5,4,4,0,0
26411,"General surgeon in Oshawa, Canada",,126,iSyrm5sAAAAJ,{'indices'},Medecine,Vincent Varisano,https://scholar.google.com/citations?view_op=medium_photo&user=iSyrm5sAAAAJ,64,4,3,3,2,0,0
26412,MEDECIN,,124,ahza6Y0AAAAJ,{'indices'},medecine,merieme benhaddou andaloussi,https://scholar.google.com/citations?view_op=medium_photo&user=ahza6Y0AAAAJ,17,5,2,5,0,0,0
26413,Université de Montréal,,121,MpoINTIAAAAJ,{'indices'},medecine,Marc-Antoine Nadon,https://scholar.google.com/citations?view_op=medium_photo&user=MpoINTIAAAAJ,77,3,3,2,2,0,0
26414,teaching assistant,@med.bsu.edu.eg,118,AVofwUIAAAAJ,{'indices'},medecine,Dr Islamhassan ENT,https://scholar.google.com/citations?view_op=medium_photo&user=AVofwUIAAAAJ,54,5,4,2,2,0,0
